PM2.5,PM10,Date&Time
  10mg/m3,  11mg/m3,2020-02-04 12:31:51
  10mg/m3,  11mg/m3,2020-02-04 12:31:56
  10mg/m3,  11mg/m3,2020-02-04 12:32:01
  11mg/m3,  12mg/m3,2020-02-04 12:32:06
  11mg/m3,  12mg/m3,2020-02-04 12:32:11
  13mg/m3,  14mg/m3,2020-02-04 12:32:16
  14mg/m3,  16mg/m3,2020-02-04 12:32:21
  15mg/m3,  19mg/m3,2020-02-04 12:32:26
  15mg/m3,  18mg/m3,2020-02-04 12:32:31
  14mg/m3,  16mg/m3,2020-02-04 12:32:36
  14mg/m3,  16mg/m3,2020-02-04 12:32:41
  15mg/m3,  16mg/m3,2020-02-04 12:32:46
  15mg/m3,  16mg/m3,2020-02-04 12:32:51
  14mg/m3,  15mg/m3,2020-02-04 12:32:56
  14mg/m3,  15mg/m3,2020-02-04 12:33:01
  12mg/m3,  13mg/m3,2020-02-04 12:33:06
  10mg/m3,  13mg/m3,2020-02-04 12:33:11
  11mg/m3,  15mg/m3,2020-02-04 12:33:16
  12mg/m3,  16mg/m3,2020-02-04 12:33:21
  12mg/m3,  13mg/m3,2020-02-04 12:33:26
  12mg/m3,  15mg/m3,2020-02-04 12:33:31
  10mg/m3,  14mg/m3,2020-02-04 12:33:36
   9mg/m3,  13mg/m3,2020-02-04 12:33:41
   9mg/m3,  13mg/m3,2020-02-04 12:33:46
   9mg/m3,  12mg/m3,2020-02-04 12:33:51
  10mg/m3,  12mg/m3,2020-02-04 12:33:56
  11mg/m3,  12mg/m3,2020-02-04 12:34:01
  11mg/m3,  12mg/m3,2020-02-04 12:34:06
   9mg/m3,  10mg/m3,2020-02-04 12:34:11
  11mg/m3,  12mg/m3,2020-02-04 12:34:16
  11mg/m3,  12mg/m3,2020-02-04 12:34:21
  10mg/m3,  11mg/m3,2020-02-04 12:34:26
  11mg/m3,  12mg/m3,2020-02-04 12:34:31
  12mg/m3,  13mg/m3,2020-02-04 12:34:36
   9mg/m3,  10mg/m3,2020-02-04 12:34:41
  10mg/m3,  11mg/m3,2020-02-04 12:34:46
  13mg/m3,  14mg/m3,2020-02-04 12:34:51
  16mg/m3,  17mg/m3,2020-02-04 12:34:56
  15mg/m3,  16mg/m3,2020-02-04 12:35:01
  15mg/m3,  16mg/m3,2020-02-04 12:35:06
  14mg/m3,  15mg/m3,2020-02-04 12:35:11
  12mg/m3,  13mg/m3,2020-02-04 12:35:16
  11mg/m3,  12mg/m3,2020-02-04 12:35:21
  12mg/m3,  13mg/m3,2020-02-04 12:35:26
  10mg/m3,  13mg/m3,2020-02-04 12:35:31
  10mg/m3,  12mg/m3,2020-02-04 12:35:36
  12mg/m3,  14mg/m3,2020-02-04 12:35:41
  11mg/m3,  14mg/m3,2020-02-04 12:35:46
  11mg/m3,  13mg/m3,2020-02-04 12:35:51
   9mg/m3,  10mg/m3,2020-02-04 12:35:56
  11mg/m3,  12mg/m3,2020-02-04 12:36:01
  11mg/m3,  12mg/m3,2020-02-04 12:36:06
  11mg/m3,  12mg/m3,2020-02-04 12:36:11
  11mg/m3,  12mg/m3,2020-02-04 12:36:16
  12mg/m3,  13mg/m3,2020-02-04 12:36:21
  13mg/m3,  14mg/m3,2020-02-04 12:36:26
  11mg/m3,  12mg/m3,2020-02-04 12:36:31
  11mg/m3,  12mg/m3,2020-02-04 12:36:36
  10mg/m3,  12mg/m3,2020-02-04 12:36:41
   9mg/m3,  11mg/m3,2020-02-04 12:36:46
   8mg/m3,  10mg/m3,2020-02-04 12:36:51
  10mg/m3,  11mg/m3,2020-02-04 12:36:56
   9mg/m3,  10mg/m3,2020-02-04 12:37:01
  10mg/m3,  11mg/m3,2020-02-04 12:37:06
  11mg/m3,  12mg/m3,2020-02-04 12:37:11
  12mg/m3,  13mg/m3,2020-02-04 12:37:16
  14mg/m3,  15mg/m3,2020-02-04 12:37:21
  14mg/m3,  15mg/m3,2020-02-04 12:37:26
  13mg/m3,  14mg/m3,2020-02-04 12:37:31
  13mg/m3,  14mg/m3,2020-02-04 12:37:36
  11mg/m3,  12mg/m3,2020-02-04 12:37:41
  12mg/m3,  13mg/m3,2020-02-04 12:37:46
  11mg/m3,  12mg/m3,2020-02-04 12:37:51
  10mg/m3,  11mg/m3,2020-02-04 12:37:56
  10mg/m3,  11mg/m3,2020-02-04 12:38:01
  11mg/m3,  12mg/m3,2020-02-04 12:38:06
  10mg/m3,  11mg/m3,2020-02-04 12:38:11
  11mg/m3,  12mg/m3,2020-02-04 12:38:16
  10mg/m3,  11mg/m3,2020-02-04 12:38:21
  11mg/m3,  12mg/m3,2020-02-04 12:38:26
  12mg/m3,  13mg/m3,2020-02-04 12:38:31
  14mg/m3,  15mg/m3,2020-02-04 12:38:36
  12mg/m3,  13mg/m3,2020-02-04 12:38:41
  12mg/m3,  13mg/m3,2020-02-04 12:38:46
  13mg/m3,  14mg/m3,2020-02-04 12:38:51
  11mg/m3,  13mg/m3,2020-02-04 12:38:56
  10mg/m3,  11mg/m3,2020-02-04 12:39:01
  11mg/m3,  12mg/m3,2020-02-04 12:39:06
  10mg/m3,  13mg/m3,2020-02-04 12:39:11
   9mg/m3,  12mg/m3,2020-02-04 12:39:16
   9mg/m3,  13mg/m3,2020-02-04 12:39:21
   9mg/m3,  11mg/m3,2020-02-04 12:39:26
   9mg/m3,  11mg/m3,2020-02-04 12:39:31
   9mg/m3,  11mg/m3,2020-02-04 12:39:36
  10mg/m3,  12mg/m3,2020-02-04 12:39:41
  10mg/m3,  11mg/m3,2020-02-04 12:39:46
  10mg/m3,  11mg/m3,2020-02-04 12:39:51
  12mg/m3,  13mg/m3,2020-02-04 12:39:56
  12mg/m3,  13mg/m3,2020-02-04 12:40:01
